timestamp,trade_id,symbol,direction,strategy,confidence,entry_price,stop_loss,take_profit,position_size,risk_amount,market_conditions,indicators,status,blocked_reason,entry_time,exit_time,exit_price,pnl,pnl_pips,exit_reason,max_favorable,max_adverse,duration_minutes,session,order_flow_bias,multi_tf_alignment
2026-02-09T09:05:32.603976,BLOCKED_AUD_JPY_1770627932,AUD_JPY,buy,trend_following,0.89,110.243,109.643,110.643,0,0,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.10311585501117408, ""spread_pips"": 2.400000000000091, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 0.8999999999999999, ""regime"": ""neutral""}","{""rsi"": 55.98087527143991, ""macd"": 0.04006092283464113, ""macd_signal"": 0.03458162332737637, ""bb_upper"": 110.3162128802777, ""bb_lower"": 109.98488711972249, ""atr"": 0.10311585501117408, ""momentum"": 0.07800000000000296, ""stoch_k"": 68.31757093081269, ""stoch_d"": 76.3420428215652}",BLOCKED,Pre-check margin insufficient: 0.02x,,,,,,,,,,london,,
2026-02-09T12:18:51.471542,BLOCKED_USD_JPY_1770639531,USD_JPY,sell,trend_following,0.87,156.405,157.005,156.005,0,0,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.08760857701430111, ""spread_pips"": 1.9000000000005457, ""trend_strength"": -1.0, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.7, ""regime"": ""neutral""}","{""rsi"": 38.19469853425508, ""macd"": -0.05195550550601524, ""macd_signal"": -0.03156584993474228, ""bb_upper"": 156.78957249057515, ""bb_lower"": 156.36892750942468, ""atr"": 0.08760857701430111, ""momentum"": -0.1560000000000059, ""stoch_k"": 22.223362076660774, ""stoch_d"": 18.624684821397675}",BLOCKED,Pre-check margin insufficient: 0.04x,,,,,,,,,,london,,
2026-02-09T12:24:51.634757,BLOCKED_USD_JPY_1770639891,USD_JPY,sell,trend_following,0.87,156.5,157.1,156.1,0,0,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.08692225042664861, ""spread_pips"": 1.5999999999991132, ""trend_strength"": -1.0, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.7, ""regime"": ""neutral""}","{""rsi"": 36.207565001559594, ""macd"": -0.05395870203744835, ""macd_signal"": -0.036044413103792146, ""bb_upper"": 156.776862328566, ""bb_lower"": 156.3534376714338, ""atr"": 0.08692225042664861, ""momentum"": -0.160000000000025, ""stoch_k"": 27.373256490358575, ""stoch_d"": 22.630256287055882}",BLOCKED,Pre-check margin insufficient: 0.04x,,,,,,,,,,london,,
2026-02-09T12:25:59.346911,BLOCKED_EUR_JPY_1770639959,EUR_JPY,buy,trend_following,0.9,185.9,185.3,186.3,0,0,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.10500574557863726, ""spread_pips"": 2.600000000001046, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 1.0, ""regime"": ""neutral""}","{""rsi"": 62.01769244532288, ""macd"": -0.0008640177780989688, ""macd_signal"": -0.007515440627923484, ""bb_upper"": 185.8848841046669, ""bb_lower"": 185.67791589533314, ""atr"": 0.10500574557863726, ""momentum"": 0.12999999999999545, ""stoch_k"": 72.37196853418642, ""stoch_d"": 56.669528208168664}",BLOCKED,Pre-check margin insufficient: 0.03x,,,,,,,,,,london,,
2026-02-09T12:27:15.332941,BLOCKED_EUR_JPY_1770640035,EUR_JPY,buy,trend_following,0.9,185.893,185.293,186.293,0,0,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.10500574557863726, ""spread_pips"": 2.600000000001046, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 1.0, ""regime"": ""neutral""}","{""rsi"": 62.01769244532288, ""macd"": -0.0008640177780989688, ""macd_signal"": -0.007515440627923484, ""bb_upper"": 185.8848841046669, ""bb_lower"": 185.67791589533314, ""atr"": 0.10500574557863726, ""momentum"": 0.12999999999999545, ""stoch_k"": 72.37196853418642, ""stoch_d"": 56.669528208168664}",BLOCKED,Pre-check margin insufficient: 0.03x,,,,,,,,,,london,,
2026-02-09T12:28:34.920751,BLOCKED_EUR_JPY_1770640114,EUR_JPY,buy,trend_following,0.9,185.913,185.31300000000002,186.31300000000002,0,0,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.10500574557863726, ""spread_pips"": 2.9000000000024784, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 1.0, ""regime"": ""neutral""}","{""rsi"": 62.01769244532288, ""macd"": -0.0008640177780989688, ""macd_signal"": -0.007515440627923484, ""bb_upper"": 185.8848841046669, ""bb_lower"": 185.67791589533314, ""atr"": 0.10500574557863726, ""momentum"": 0.12999999999999545, ""stoch_k"": 72.37196853418642, ""stoch_d"": 56.669528208168664}",BLOCKED,Pre-check margin insufficient: 0.03x,,,,,,,,,,london,,
2026-02-09T12:29:59.311824,BLOCKED_EUR_JPY_1770640199,EUR_JPY,buy,trend_following,0.9,185.9,185.3,186.3,0,0,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.10500574557863726, ""spread_pips"": 2.899999999999636, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 1.0, ""regime"": ""neutral""}","{""rsi"": 62.01769244532288, ""macd"": -0.0008640177780989688, ""macd_signal"": -0.007515440627923484, ""bb_upper"": 185.8848841046669, ""bb_lower"": 185.67791589533314, ""atr"": 0.10500574557863726, ""momentum"": 0.12999999999999545, ""stoch_k"": 72.37196853418642, ""stoch_d"": 56.669528208168664}",BLOCKED,Pre-check margin insufficient: 0.03x,,,,,,,,,,london,,
2026-02-09T12:31:25.955319,BLOCKED_EUR_JPY_1770640285,EUR_JPY,buy,trend_following,0.9,185.88,185.28,186.28,0,0,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.1030053346611466, ""spread_pips"": 2.400000000000091, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 1.0, ""regime"": ""neutral""}","{""rsi"": 62.18807546564628, ""macd"": 0.007901916299374534, ""macd_signal"": -0.004431948016795324, ""bb_upper"": 185.89128113001354, ""bb_lower"": 185.6744188699865, ""atr"": 0.1030053346611466, ""momentum"": 0.08400000000000318, ""stoch_k"": 80.85383619764188, ""stoch_d"": 69.44365349227127}",BLOCKED,Pre-check margin insufficient: 0.03x,,,,,,,,,,london,,
2026-02-09T12:32:41.014482,BLOCKED_USD_JPY_1770640361,USD_JPY,sell,trend_following,0.8550000000000001,156.496,157.096,156.096,0,0,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.08932581891592252, ""spread_pips"": 1.8000000000000682, ""trend_strength"": -1.0, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.55, ""regime"": ""neutral""}","{""rsi"": 48.62543918303867, ""macd"": -0.04184813075528382, ""macd_signal"": -0.03917752926195319, ""bb_upper"": 156.73364497357124, ""bb_lower"": 156.35765502642852, ""atr"": 0.08932581891592252, ""momentum"": -0.034000000000020236, ""stoch_k"": 51.46469072849504, ""stoch_d"": 39.52461369061739}",BLOCKED,Pre-check margin insufficient: 0.04x,,,,,,,,,,london,,
2026-02-09T12:40:20.173817,BLOCKED_EUR_JPY_1770640820,EUR_JPY,buy,trend_following,0.9,185.911,185.311,186.311,0,0,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.10073929251309258, ""spread_pips"": 2.7000000000015234, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 1.0, ""regime"": ""neutral""}","{""rsi"": 62.94061539467264, ""macd"": 0.020305427941792686, ""macd_signal"": 0.003458499642369441, ""bb_upper"": 185.9112424253277, ""bb_lower"": 185.66535757467233, ""atr"": 0.10073929251309258, ""momentum"": 0.19200000000000728, ""stoch_k"": 84.728243665443, ""stoch_d"": 84.09338812908568}",BLOCKED,Pre-check margin insufficient: 0.03x,,,,,,,,,,london,,
2026-02-09T12:41:41.588315,BLOCKED_EUR_JPY_1770640901,EUR_JPY,buy,trend_following,0.895,185.9,185.3,186.3,0,0,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.10073929251309258, ""spread_pips"": 2.7000000000015234, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 0.95, ""regime"": ""neutral""}","{""rsi"": 62.94061539467264, ""macd"": 0.020305427941792686, ""macd_signal"": 0.003458499642369441, ""bb_upper"": 185.9112424253277, ""bb_lower"": 185.66535757467233, ""atr"": 0.10073929251309258, ""momentum"": 0.19200000000000728, ""stoch_k"": 84.728243665443, ""stoch_d"": 84.09338812908568}",BLOCKED,Pre-check margin insufficient: 0.03x,,,,,,,,,,london,,
2026-02-09T12:43:07.979315,BLOCKED_EUR_JPY_1770640987,EUR_JPY,buy,trend_following,0.895,185.874,185.274,186.274,0,0,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.10073929251309258, ""spread_pips"": 2.400000000000091, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 0.95, ""regime"": ""neutral""}","{""rsi"": 62.94061539467264, ""macd"": 0.020305427941792686, ""macd_signal"": 0.003458499642369441, ""bb_upper"": 185.9112424253277, ""bb_lower"": 185.66535757467233, ""atr"": 0.10073929251309258, ""momentum"": 0.19200000000000728, ""stoch_k"": 84.728243665443, ""stoch_d"": 84.09338812908568}",BLOCKED,Pre-check margin insufficient: 0.03x,,,,,,,,,,london,,
2026-02-09T12:45:50.261877,BLOCKED_EUR_JPY_1770641150,EUR_JPY,buy,trend_following,0.9,185.894,185.294,186.294,0,0,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.09890077110028503, ""spread_pips"": 2.400000000000091, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 1.0, ""regime"": ""neutral""}","{""rsi"": 61.65991378356534, ""macd"": 0.02440593988666251, ""macd_signal"": 0.007647978291480083, ""bb_upper"": 185.91646368198502, ""bb_lower"": 185.66283631801502, ""atr"": 0.09890077110028503, ""momentum"": 0.18500000000000227, ""stoch_k"": 83.01471296640408, ""stoch_d"": 84.81368038533975}",BLOCKED,Pre-check margin insufficient: 0.03x,,,,,,,,,,london,,
2026-02-09T12:51:32.129271,BLOCKED_AUD_JPY_1770641492,AUD_JPY,buy,trend_following,0.875,110.28,109.68,110.68,0,0,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.08501440980130114, ""spread_pips"": 2.2999999999996135, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 0.75, ""regime"": ""neutral""}","{""rsi"": 65.65676743364965, ""macd"": 0.051688324264276275, ""macd_signal"": 0.031194663976290032, ""bb_upper"": 110.3274630997909, ""bb_lower"": 109.90473690020916, ""atr"": 0.08501440980130114, ""momentum"": 0.17199999999999704, ""stoch_k"": 84.83296204490895, ""stoch_d"": 85.25086770996646}",BLOCKED,Pre-check margin insufficient: 0.10x,,,,,,,,,,london,,
2026-02-09T13:01:07.312286,BLOCKED_USD_JPY_1770642067,USD_JPY,sell,trend_following,0.8800000000000001,156.36,156.96,155.96,0,0,"{""session"": ""london_ny_overlap"", ""session_quality"": 1.0, ""volatility"": 0.0832902093888932, ""spread_pips"": 1.5999999999991132, ""trend_strength"": -1.0, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.8, ""regime"": ""neutral""}","{""rsi"": 34.75620064329198, ""macd"": -0.03952017010982445, ""macd_signal"": -0.03518292599231511, ""bb_upper"": 156.6133626421524, ""bb_lower"": 156.36733735784733, ""atr"": 0.0832902093888932, ""momentum"": -0.036000000000001364, ""stoch_k"": 39.986649951967365, ""stoch_d"": 54.09590541578465}",BLOCKED,Pre-check margin insufficient: 0.04x,,,,,,,,,,london_ny_overlap,,
